,open,high,low,close,volume
2019-10-25,130.5,131.76,130.03,130.9,5443201.0
2019-10-24,131.52,131.7,129.63,130.26,5746300.0
2019-10-23,132.45,132.68,130.76,131.13,5970800.0
2019-10-22,133.15,133.68,132.1,132.4,9291600.0
2019-10-21,131.44,131.73,130.02,130.26,6257100.0
2019-10-18,132.37,133.16,130.89,130.89,8694000.0
2019-10-17,132.53,133.44,130.51,132.37,8005100.0
2019-10-16,129.76,131.83,129.7,130.86,7610800.0
2019-10-15,130.01,130.89,129.4,129.76,5914700.0
2019-10-14,130.13,130.3,129.48,129.7,3710300.0
2019-10-11,130.3,130.99,129.84,130.02,6559000.0
2019-10-10,129.22,130.14,128.88,129.34,4512000.0
2019-10-09,129.1,129.85,128.06,129.33,5004600.0
2019-10-08,129.9,130.04,128.37,128.47,6526000.0
2019-10-07,130.27,131.57,129.04,130.9,5784100.0
2019-10-04,128.69,130.44,128.61,130.27,6732900.0
2019-10-03,128.6,129.43,127.54,128.15,8498700.0
2019-10-02,128.51,129.22,127.57,129.14,8296100.0
2019-10-01,130.8,131.78,129.51,129.55,5978500.0
2019-09-30,130.35,130.86,129.82,130.32,5532500.0
2019-09-27,130.1,131.0,128.92,129.96,8401300.0
2019-09-26,133.14,133.3,129.06,131.27,11615100.0
2019-09-25,131.79,133.42,131.22,133.09,6523000.0
2019-09-24,134.01,134.15,131.5,131.97,11904000.0
2019-09-23,131.99,132.89,131.89,132.46,6096100.0
2019-09-20,133.03,133.23,131.61,132.27,25231600.0
2019-09-19,137.0,137.36,133.0,133.3,12216100.0
2019-09-18,136.41,137.07,135.72,136.8,6857900.0
2019-09-17,135.8,136.73,135.67,136.31,4726500.0
2019-09-16,136.29,137.24,135.3,135.8,6329300.0
2019-09-13,137.85,138.22,137.11,138.02,5209100.0
2019-09-12,136.84,138.67,136.54,137.5,7333900.0
2019-09-11,135.56,136.24,134.93,136.19,7896400.0
2019-09-10,138.12,138.44,134.58,135.79,10974600.0
2019-09-09,139.58,140.08,138.48,138.83,5458700.0
2019-09-06,139.13,139.81,138.25,139.55,4090000.0
2019-09-05,138.92,139.27,138.32,138.84,5143500.0
2019-09-04,136.74,138.2,136.39,137.89,4285400.0
2019-09-03,136.37,136.42,135.06,136.31,5997400.0
2019-08-30,138.29,138.5,136.76,137.26,5622200.0
2019-08-29,138.12,138.68,137.42,137.84,6532700.0
2019-08-28,134.06,136.73,133.52,136.55,5950500.0
2019-08-27,135.77,135.99,134.19,134.49,6013600.0
2019-08-26,134.19,134.64,132.55,134.61,8093800.0
2019-08-23,135.51,136.44,131.02,131.67,10190900.0
2019-08-22,136.2,136.67,134.69,136.08,6967100.0
2019-08-21,134.61,136.06,134.05,135.76,6325000.0
2019-08-20,133.33,136.04,133.26,135.13,8628000.0
2019-08-19,136.79,137.62,134.28,135.29,11741800.0
2019-08-16,134.02,135.5,132.47,135.2,6353800.0
2019-08-15,133.5,134.28,132.47,133.41,7590100.0
2019-08-14,135.06,135.15,132.68,132.85,11797700.0
2019-08-13,135.0,137.92,135.0,137.01,8145400.0
2019-08-12,137.31,137.566,135.23,135.75,7918900.0
2019-08-09,137.1,139.24,136.762,138.52,8811900.0
2019-08-08,137.9,138.0,136.01,137.89,14054800.0
2019-08-07,134.93,135.87,132.26,134.86,29084500.0
2019-08-06,140.41,141.95,138.37,141.87,18818900.0
2019-08-05,139.14,140.23,137.03,138.3,10669700.0
2019-08-02,140.99,142.22,139.94,141.71,6539100.0
2019-08-01,143.34,144.53,141.26,141.85,8911700.0
2019-07-31,144.99,145.0,142.34,143.01,9710700.0
2019-07-30,145.76,146.8,144.61,144.93,6563100.0
2019-07-29,145.59,147.1583,145.17,146.39,11674100.0
2019-07-26,143.74,145.19,143.05,144.65,8139400.0
2019-07-25,141.4,143.23,141.04,143.21,7294400.0
2019-07-24,141.4,141.59,140.4,141.29,5896600.0
2019-07-23,141.65,142.54,140.27,141.26,7514500.0
2019-07-22,141.25,141.44,140.01,140.84,7706400.0
2019-07-19,142.24,142.24,139.7296,139.85,6109900.0
2019-07-18,142.46,142.46,140.17,141.63,8031700.0
2019-07-17,144.6,144.68,142.37,142.57,5296400.0
2019-07-16,144.75,144.99,143.81,144.3,5854700.0
2019-07-15,145.13,145.36,143.97,145.06,5289200.0
2019-07-12,144.15,145.43,144.0,144.88,8510000.0
2019-07-11,144.01,145.34,143.54,143.56,10471100.0
2019-07-10,142.4,144.25,142.01,143.54,9533700.0
2019-07-09,140.06,141.72,139.75,141.61,7396300.0
2019-07-08,142.18,142.23,140.97,141.02,4993900.0
2019-07-05,141.42,142.89,140.7,142.45,5596000.0
2019-07-03,142.6983,143.0,142.001,142.98,4150900.0
2019-07-02,141.4029,142.86,141.27,142.53,7554100.0
2019-07-01,140.45,141.95,139.22,141.65,8972400.0
2019-06-28,139.41,140.21,138.61,139.64,20078800.0
2019-06-27,141.0,141.74,138.92,139.3,6466300.0
2019-06-26,140.36,140.74,139.5046,140.4,8842100.0
2019-06-25,139.02,140.4169,138.67,139.94,14675400.0
2019-06-24,140.12,140.47,137.8,139.22,10497400.0
2019-06-21,141.95,142.0,140.0,140.23,14150000.0
2019-06-20,141.975,142.228,139.9005,142.02,8485800.0
2019-06-19,139.51,141.07,138.58,140.92,6877100.0
2019-06-18,141.99,143.51,138.97,139.24,11231400.0
2019-06-17,140.81,141.48,139.11,140.97,8542700.0
2019-06-14,142.05,142.95,140.53,141.65,11125200.0
2019-06-13,137.95,141.85,137.61,141.74,17939500.0
2019-06-12,135.09,136.2889,134.825,135.72,5537000.0
2019-06-11,137.59,137.745,134.94,135.08,6352200.0
2019-06-10,138.88,138.88,136.071,137.07,8479500.0
2019-06-07,137.6,138.7547,137.33,138.04,7026300.0
2019-06-06,136.51,137.44,135.73,137.21,6027300.0
